run_id,arch,level,mode,seed,best_val_acc,epochs_ran,train_time_s,top1_page,top5_page,macro_f1_page,map_line,top1_retrieval,n_params,throughput_img_s
resnet50_L1_pretrained_s0,resnet50,1,pretrained,0,0.5664,48,20.6,0.7261,0.88,0.7118,0.3819,0.4428,25600000,477.47
resnet50_L1_pretrained_s1,resnet50,1,pretrained,1,0.5613,49,23.2,0.7197,0.8793,0.7069,0.3754,0.4767,25600000,483.74
resnet50_L1_pretrained_s2,resnet50,1,pretrained,2,0.5482,46,21.8,0.7028,0.8848,0.6721,0.369,0.468,25600000,489.78
resnet50_L2_pretrained_s0,resnet50,2,pretrained,0,0.6606,30,28.6,0.8469,0.9345,0.818,0.4341,0.5414,25600000,483.45
resnet50_L2_pretrained_s1,resnet50,2,pretrained,1,0.6964,35,29.6,0.8928,0.9531,0.8609,0.4301,0.5425,25600000,473.28
resnet50_L2_pretrained_s2,resnet50,2,pretrained,2,0.6501,20,28.3,0.8335,0.9399,0.8159,0.4276,0.5143,25600000,480.93
resnet50_L3_pretrained_s0,resnet50,3,pretrained,0,0.7132,50,34.5,0.9144,0.9745,0.8892,0.4708,0.5721,25600000,468.34
resnet50_L3_pretrained_s1,resnet50,3,pretrained,1,0.7048,44,32.5,0.9036,0.9567,0.8701,0.4463,0.5762,25600000,487.75
resnet50_L3_pretrained_s2,resnet50,3,pretrained,2,0.6835,42,35.3,0.8763,0.9472,0.8517,0.4499,0.5641,25600000,476.3
resnet50_L4_pretrained_s0,resnet50,4,pretrained,0,0.7466,16,41.0,0.9572,0.981,0.9157,0.4559,0.5375,25600000,481.14
resnet50_L4_pretrained_s1,resnet50,4,pretrained,1,0.744,29,40.9,0.9538,0.9773,0.9268,0.4894,0.5832,25600000,477.1
resnet50_L4_pretrained_s2,resnet50,4,pretrained,2,0.7272,22,41.0,0.9324,0.961,0.9093,0.4568,0.557,25600000,483.57
resnet50_Lfull_pretrained_s0,resnet50,full,pretrained,0,0.7592,30,42.7,0.9733,0.9883,0.9399,0.4851,0.5513,25600000,472.02
resnet50_Lfull_pretrained_s1,resnet50,full,pretrained,1,0.755,20,47.7,0.968,0.9781,0.9352,0.51,0.6029,25600000,472.53
resnet50_Lfull_pretrained_s2,resnet50,full,pretrained,2,0.7456,51,47.0,0.9559,0.9729,0.9238,0.4948,0.5602,25600000,475.25
convnext_tiny_L1_pretrained_s0,convnext_tiny,1,pretrained,0,0.5234,41,23.8,0.6711,0.8692,0.6457,0.3402,0.4406,28600000,358.09
convnext_tiny_L1_pretrained_s1,convnext_tiny,1,pretrained,1,0.53,45,22.4,0.6795,0.8736,0.6613,0.3669,0.4837,28600000,350.49
convnext_tiny_L1_pretrained_s2,convnext_tiny,1,pretrained,2,0.536,19,21.8,0.6872,0.8656,0.6627,0.3161,0.4288,28600000,348.23
convnext_tiny_L2_pretrained_s0,convnext_tiny,2,pretrained,0,0.655,22,28.6,0.8397,0.939,0.8229,0.4598,0.6181,28600000,342.94
convnext_tiny_L2_pretrained_s1,convnext_tiny,2,pretrained,1,0.675,40,29.5,0.8654,0.938,0.8352,0.4204,0.5176,28600000,361.26
convnext_tiny_L2_pretrained_s2,convnext_tiny,2,pretrained,2,0.6683,57,30.5,0.8568,0.9324,0.8144,0.4187,0.5176,28600000,367.86
convnext_tiny_L3_pretrained_s0,convnext_tiny,3,pretrained,0,0.7098,49,32.6,0.91,0.9522,0.8731,0.4405,0.5831,28600000,366.71
convnext_tiny_L3_pretrained_s1,convnext_tiny,3,pretrained,1,0.7035,23,32.9,0.9019,0.9701,0.8787,0.4478,0.547,28600000,356.36
convnext_tiny_L3_pretrained_s2,convnext_tiny,3,pretrained,2,0.6985,22,33.8,0.8955,0.9454,0.8703,0.4793,0.5825,28600000,362.29
convnext_tiny_L4_pretrained_s0,convnext_tiny,4,pretrained,0,0.7614,32,43.1,0.9761,0.9926,0.9427,0.5102,0.6188,28600000,350.2
convnext_tiny_L4_pretrained_s1,convnext_tiny,4,pretrained,1,0.7197,26,42.9,0.9226,0.9856,0.9122,0.4577,0.5501,28600000,351.14
