run_id,scenario,arch,level,mode,seed,lr,best_val_acc,train_time_s,epochs_ran,top1_page,top5_page,macro_f1_page,map_line,top1_retrieval,n_params,throughput_img_s,gpu_name,torch_version,timm_version
swin_tiny_L1_FT1_s0,FT1,swin_tiny,1,pretrained,0,0.0003,0.7903225806451613,784.8006837368011,40,0.948051948051948,0.974025974025974,0.932900432900433,0.8593324528794759,0.9646586345381526,27756206,32.769031743328135,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_FT2_s0,FT2,swin_tiny,1,pretrained,0,0.0003,0.5903225806451613,708.1093792915344,32,0.7857142857142857,0.9285714285714286,0.7310606060606061,0.2862841433875164,0.40120481927710844,27756206,123.36036985513927,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_FT3_s0,FT3,swin_tiny,1,pretrained,0,0.0003,0.532258064516129,843.2270438671112,38,0.737012987012987,0.8993506493506493,0.6757575757575758,0.24451338495393143,0.3409638554216867,27756206,146.39292951809628,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_FT4_s0,FT4,swin_tiny,1,pretrained,0,0.0003,0.5580645161290323,514.0010104179382,25,0.775974025974026,0.8896103896103896,0.71991341991342,0.2922622686571251,0.40602409638554215,27755898,148.20849992062958,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_AUG_s0,AUG,swin_tiny,1,pretrained,0,0.0003,0.6451612903225806,824.1197466850281,40,0.8441558441558441,0.9545454545454546,0.7997835497835497,0.32890655586504314,0.4570281124497992,27756206,150.53147897709042,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_FT1_s1,FT1,swin_tiny,1,pretrained,1,0.0003,0.8187702265372169,753.4640581607819,40,0.9675324675324676,0.9805194805194806,0.9577922077922078,0.8594999865905041,0.963855421686747,27756206,38.191931973872,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_FT2_s1,FT2,swin_tiny,1,pretrained,1,0.0003,0.6148867313915858,832.5671579837799,40,0.827922077922078,0.9512987012987013,0.7821428571428571,0.2878240120187267,0.41606425702811245,27756206,147.75953708745908,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_FT3_s1,FT3,swin_tiny,1,pretrained,1,0.0003,0.5275080906148867,577.8394939899445,27,0.7045454545454546,0.9025974025974026,0.6418831168831168,0.23360688821729375,0.3349397590361446,27756206,148.44206104185525,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_FT4_s1,FT4,swin_tiny,1,pretrained,1,0.0003,0.6343042071197411,773.8349287509918,37,0.8214285714285714,0.922077922077922,0.777056277056277,0.34584268789560974,0.4714859437751004,27755898,131.26690037544952,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_AUG_s1,AUG,swin_tiny,1,pretrained,1,0.0003,0.6213592233009708,950.7608082294464,40,0.827922077922078,0.9577922077922078,0.7845238095238095,0.3240469823635956,0.4526104417670683,27756206,137.14404934225774,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
